Original_ID,SMILES,standard_value,standard_units,relation,Activity_uM,Filter_Status,Source,Activity_Type,InChIKey,MW,LogP,TPSA,RotBonds
CHEMBL2089105,Cc1c(Cl)cccc1Cn1cnc(=O)c2sc(N3CCOCC3)nc21,2500.0,nM,=,2.5,PASS,ChEMBL,IC50,PNKWFEHWYHETBO-UHFFFAOYSA-N,376.8690000000002,2.69972,60.25,3
CHEMBL2089104,Cc1c(Cn2cnc(=O)c3sc(N4CCOCC4)nc32)cccc1C(F)(F)F,4000.0,nM,=,4.0,PASS,ChEMBL,IC50,IJMCSDQIRYISRQ-UHFFFAOYSA-N,410.42100000000005,3.065120000000002,60.25,3
CHEMBL2089103,O=c1ncn(Cc2cccc(Cl)c2Cl)c2nc(N3CCOCC3)sc12,1000.0,nM,=,1.0,PASS,ChEMBL,IC50,VENFEBYOSUGVRR-UHFFFAOYSA-N,397.2870000000002,3.0447000000000015,60.25,3
CHEMBL2089102,O=c1ncn(Cc2cccc(Cl)c2)c2nc(N3CCOCC3)sc12,3200.0,nM,>,3.2,PASS,ChEMBL,IC50,QUUHPRPSVOBJKA-UHFFFAOYSA-N,362.8420000000002,2.3913,60.25,3
CHEMBL2089101,O=c1ncn(Cc2ccsc2Cl)c2nc(N3CCOCC3)sc12,3200.0,nM,=,3.2,PASS,ChEMBL,IC50,AJFNMVDOTHBCMX-UHFFFAOYSA-N,368.8710000000002,2.4528000000000008,60.25,3
CHEMBL2089100,O=c1ncn(Cc2ccccc2Cl)c2nc(N3CCOCC3)sc12,2500.0,nM,=,2.5,PASS,ChEMBL,IC50,UVMCCRMQKJPSRW-UHFFFAOYSA-N,362.8420000000002,2.3913,60.25,3
CHEMBL2089099,O=c1ncn(CCc2ccccc2)c2nc(N3CCOCC3)sc12,2000.0,nM,>,2.0,PASS,ChEMBL,IC50,MHHMSRXSBYTHDX-UHFFFAOYSA-N,342.4240000000001,1.9323,60.25,4
CHEMBL2089098,CC(c1ccccc1)n1cnc(=O)c2sc(N3CCOCC3)nc21,4000.0,nM,>,4.0,PASS,ChEMBL,IC50,GHFWZRSCUXYMRA-UHFFFAOYSA-N,342.4240000000002,2.2988999999999997,60.25,3
CHEMBL2089097,Cc1ccccc1Cn1cnc(=O)c2sc(N3CCOCC3)nc21,2500.0,nM,=,2.5,PASS,ChEMBL,IC50,WNDQVPXIYCYJJW-UHFFFAOYSA-N,342.4240000000002,2.0463199999999997,60.25,3
CHEMBL2089096,O=c1ncn(Cc2ccccc2)c2nc(N3CCOCC3)sc12,7900.0,nM,=,7.9,PASS,ChEMBL,IC50,OMCAJEKCFXIKMN-UHFFFAOYSA-N,328.3970000000001,1.7379,60.25,3
