Original_ID,SMILES,standard_value,standard_units,relation,Activity_uM,Filter_Status,Source,Activity_Type,InChIKey
CHEMBL240335,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cncc2ccccc12,800.0,nM,=,0.8,PASS,ChEMBL,IC50,WIIIUNYKSWAJNS-UDWIEESQSA-N
CHEMBL240118,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccccc2c1,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,SDAGGAYSPROREN-UDWIEESQSA-N
CHEMBL393747,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1ccnc2ccccc12,2300.0,nM,=,2.3,PASS,ChEMBL,IC50,GFSHICSFPIHSQR-UDWIEESQSA-N
CHEMBL413803,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cccc2ccccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,GZLYDOBJMZEPBB-DEDYPNTBSA-N
CHEMBL413802,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1csc2ccccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,VPBQISOAPDRGBH-VCHYOVAHSA-N
CHEMBL392071,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1coc2ccccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,BMFMJWQFQVDCKQ-VCHYOVAHSA-N
CHEMBL392070,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1onc2ccccc12,5000.0,nM,=,5.0,PASS,ChEMBL,IC50,UZHZBVBRVGUDPH-LICLKQGHSA-N
CHEMBL239475,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cn(C)c2ccccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,CYGPZGPUQYTDIU-YBFXNURJSA-N
CHEMBL239052,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1ncn2ccccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,GGOBUVOABVKONT-VCHYOVAHSA-N
CHEMBL393526,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1ncc2ccccn12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,HSSUHUSEEATZRV-WOJGMQOQSA-N
CHEMBL397796,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cncn1C,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,OUTSXZNLLFOFRA-OVCLIPMQSA-N
CHEMBL272265,N#CCc1ccc(-n2cnc3cnc4ccc(C#Cc5cccnc5)cc4c32)cc1,64.0,nM,=,0.064,PASS,ChEMBL,IC50,MBIMERRBQGQJIO-UHFFFAOYSA-N
CHEMBL255592,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(C#Cc4cccnc4)ccc3ncc21,72.0,nM,=,0.072,PASS,ChEMBL,IC50,ISHNPDWTQUXPSY-UHFFFAOYSA-N
CHEMBL270638,Cc1nc2cnc3ccc(C#Cc4cccnc4)cc3c2n1-c1ccc(C(C)C#N)cc1,56.0,nM,=,0.056,PASS,ChEMBL,IC50,HFNJWNHCEQNJQQ-UHFFFAOYSA-N
CHEMBL272197,CCN(/C=C1/C(=O)O[C@H](COC)[C@]2(C)C3=C(C(=O)C(=O)C12)[C@@H]1CC[C@H](O)[C@@]1(C)C[C@H]3OC(C)=O)CC,382.0,nM,=,0.382,PASS,ChEMBL,IC50,JXVZXOPZLLEHHP-URZOBYQNSA-N
CHEMBL270039,COC[C@H]1OC(=O)/C(=C/N2CCCCC2)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,104.0,nM,=,0.104,PASS,ChEMBL,IC50,FCZWUJAYYJUBCZ-HBMVUJRWSA-N
CHEMBL260313,COC[C@H]1OC(=O)/C(=C/N2CCC(=O)CC2)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,60.0,nM,=,0.06,PASS,ChEMBL,IC50,LCVIMVPNZOPEPK-NQCDAZBGSA-N
CHEMBL411950,COC[C@H]1OC(=O)/C(=C/N2CCOCC2)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,37.0,nM,=,0.037,PASS,ChEMBL,IC50,RFLWTBOUEFYCEX-URZOBYQNSA-N
